Site,BeautifulSoup,Test
6xtube,True,True
85po,True,True
aagmaal,True,True
aagmaalpro,True,True
absoluporn,True,True
amateurtv,False,False
americass,True,False
animeidhentai,True,True
anybunny,True,True
avple,True,True
awmnet,True,True
beeg,False,False
beemtube,True,True
blendporn,True,True
bongacams,False,False
cam4,False,False
camsoda,False,False
camwhoresbay,True,False
celebsroulette,True,True
chaturbate,True,False
cumlouder,True,True
drtuber,True,False
eporner,True,False
erogarga,True,True
erome,True,True
eroticage,False,True
eroticmv,True,True
familypornhd,True,True
foxnxx,True,True
freeomovie,False,True
freepornvideos,False,False
freeuseporn,True,True
freshporno,False,False
fullporner,False,False
fullxcinema,False,False
hanime,True,True
hdporn,False,True
hdporn92,False,False
hentai-moon,True,True
hentaidude,True,True
hentaihavenco,True,True
hentaistream,True,True
heroero,True,True
hitprn,False,True
hobbyporn,True,True
homemoviestube,True,True
hpjav,True,True
hqporner,True,False
japteenx,True,True
javbangers,True,True
javgg,True,True
javguru,True,True
javhdporn,True,True
javmoe,True,True
justfullporn,False,True
justporn,True,True
kissjav,True,True
livecamrips,True,True
longvideos,True,True
luxuretv,True,True
missav,True,True
motherless,True,True
mrsexe,True,True
myfreecams,True,True
naked,True,False
naughtyblog,True,True
netfapx,True,True
netflav,True,True
netflixporno,True,True
nltubes,True,True
nonktube,True,True
noodlemagazine,True,True
paradisehill,True,True
peachurnet,True,True
peekvids,True,True
perverzija,True,True
playvids,True,True
porn4k,False,False
porndig,True,True
porndish,False,False
pornez,False,False
porngo,True,False
pornhat,True,False
pornhits,False,True
pornhoarder,True,True
pornhub,True,True
pornkai,True,True
pornmz,True,True
porno1hu,True,True
porno365,True,True
pornone,True,False
pornroom,False,False
porntn,True,True
porntrex,True,False
pornxp,False,False
premiumporn,True,True
reallifecam,True,True
redtube,True,True
rule34video,True,True
seaporn,True,True
sextb,True,True
sexyporn,True,True
spankbang,True,True
speedporn,True,True
streamate,True,False
stripchat,True,False
supjav,True,True
sxyprn,True,False
taboofantazy,True,True
tabootube,True,True
terebon,True,True
theyarehuge,True,True
thothub,True,True
tnaflix,True,False
tokyomotion,True,True
trannyteca,True,False
trendyporn,True,True
tube8,True,True
tubxporn,True,False
txxx,False,False
uflash,True,True
vaginanl,True,True
vipporns,False,True
viralvideosporno,True,True
watcherotic,False,True
watchmdh,True,True
watchporn,True,False
whereismyporn,True,True
whoreshub,True,False
xfreehd,False,False
xhamster,True,False
xmegadrive,True,True
xmoviesforyou,False,False
xnxx,True,True
xozilla,False,False
xsharings,False,False
xtheatre,False,False
xvideos,True,True
xxdbx,True,False
youcrazyx,False,False
youjizz,True,True
youporn,True,True
yrprno,True,True
